Date,Team,Relinquished,Notes
2014-08-02,Giants,,activated from 7-day DL
2014-08-02,Mariners,,activated from 60-day DL
2014-08-02,Royals,,activated from 15-day DL
2014-08-03,Angels,• Joe Thatcher,placed on 15-day DL with sprained left ankle
2014-08-03,Astros,• Jesus Guzman (Antonio),placed on 15-day DL with back spasms
2014-08-03,Athletics,• Nick Punto,placed on 15-day DL with strained right hamstring
2014-08-03,Rangers,• Alexi Ogando,transferred to 60-day DL with right elbow inflammation
2014-08-03,Blue Jays,,activated from 15-day DL
2014-08-04,Angels,• Mike Morin,placed on 15-day DL with lacerated left foot
2014-08-04,Dodgers,• Chris Perez,placed on 15-day DL with bone spurs in right ankle
2014-08-04,Dodgers,• Paul Maholm,transferred to 60-day DL with torn ACL in right knee
2014-08-04,Nationals,• Nate McLouth,placed on 15-day DL with right shoulder inflammation
2014-08-04,Yankees,• David Phelps,placed on 15-day DL with right elbow inflammation/tendinitis
2014-08-04,Angels,,activated from 15-day DL
2014-08-04,Blue Jays,,activated from 15-day DL
2014-08-05,Brewers,• Matt Garza,placed on 15-day DL with strained left oblique
2014-08-05,Dodgers,• Steven Rodriguez (F.) / Paco Rodriguez,placed on 15-day DL with strained left shoulder
2014-08-05,Red Sox,• Allen Craig,placed on 15-day DL with sprained left ankle/foot
2014-08-05,Dodgers,,activated from 15-day DL
2014-08-05,Indians,,activated from 60-day DL
2014-08-05,Nationals,• Taylor Jordan,placed on 60-day DL with sore right elbow
2014-08-05,Pirates,,activated from 7-day DL
2014-08-06,Rockies,• Brett Anderson (Franklin),placed on 15-day DL with strained lower back
2014-08-06,Cubs,,activated from 60-day DL
2014-08-06,Diamondbacks,,activated from 15-day DL
2014-08-06,Rockies,,activated from 60-day DL
2014-08-07,Blue Jays,• Brett Lawrie,placed on 15-day DL with strained left oblique
2014-08-07,Giants,,activated from 15-day DL
2014-08-07,Red Sox,,activated from 15-day DL
2014-08-08,Cardinals,• Jason Motte,placed on 15-day DL with strained lower back
2014-08-08,Dodgers,• Josh Beckett,placed on 15-day DL with left hip impingement
2014-08-08,Giants,• Brandon Belt,placed on 7-day DL with concussion
2014-08-08,Marlins,• Dan Jennings (Lee),placed on 7-day DL with concussion
2014-08-08,Rangers,,activated from 15-day DL
2014-08-08,White Sox,,activated from 15-day DL
2014-08-09,White Sox,• Adam Eaton (Cory),placed on 15-day DL with strained right oblique muscle
2014-08-09,Yankees,• Brian McCann,placed on 7-day DL with concussion
2014-08-09,Orioles,,activated from 15-day DL
2014-08-10,Angels,• Tyler Skaggs,"transferred to 60-day DL recovering from ligament replacement (""Tommy John"") surgery on left elbow"
2014-08-10,Cubs,• Brian Schlitter,placed on 15-day DL with right shoulder inflammation
2014-08-10,Dodgers,• Hanley Ramirez (a),placed on 15-day DL with strained right oblique muscle
2014-08-10,Giants,• Hector Sanchez,placed on 15-day DL with concussion
2014-08-10,Indians,• David Murphy (Matthew),placed on 15-day DL with strained right abdominal
2014-08-10,Indians,• Nick Swisher,placed on 15-day DL with sore right knee (surgery on both knees)
2014-08-10,Nationals,• Steven Souza Jr.,placed on 15-day DL with bruised left shoulder
2014-08-10,Rockies,• Carlos Gonzalez (Eduardo),placed on 15-day DL with left knee patella tendinitis
2014-08-10,Tigers,• Anibal Sanchez,placed on 15-day DL with strained right pectoral muscle
2014-08-10,Tigers,• Joakim Soria,placed on 15-day DL with strained left oblique
2014-08-10,Cubs,,activated from 15-day DL
2014-08-10,Padres,,activated from 60-day DL
2014-08-10,Rays,,activated from 60-day DL
2014-08-11,Mets,• Jacob deGrom,placed on 15-day DL with tendinitis in right rotator cuff
2014-08-11,Pirates,• Andrew McCutchen,placed on 15-day DL with fractured left rib
2014-08-11,Twins,,activated from 15-day DL
2014-08-12,Padres,• Everth Cabrera,placed on 15-day DL with strained left hamstring
2014-08-12,Royals,• Scott Downs,placed on 15-day DL with sprained/stiff neck
2014-08-12,Blue Jays,,activated from 15-day DL
2014-08-12,White Sox,,activated from 15-day DL
2014-08-13,Orioles,• Manny Machado,placed on 15-day DL with sprained right knee
2014-08-13,Orioles,• Matt Wieters,"transferred to 60-day DL with ligament replacement (""Tommy John"") surgery on right elbow"
2014-08-13,Rangers,• Yu Darvish,placed on 15-day DL with right elbow inflammation
2014-08-13,Astros,,activated from 15-day DL
2014-08-13,Yankees,,activated from 60-day DL
2014-08-14,Athletics,• Jed Lowrie,placed on 15-day DL with fractured right index finger
2014-08-14,Padres,• Yonder Alonso,placed on 15-day DL with strained right forearm
2014-08-14,Red Sox,,activated from 60-day DL
2014-08-15,Dodgers,• Hyun Jin Ryu / Hyun-Jin Ryu,placed on 15-day DL with glute injury / strained right hip (CBS MLB)
2014-08-15,Pirates,• Stolmy Pimentel,placed on 15-day DL with sprained right ankle
2014-08-15,Blue Jays,,activated from 15-day DL
2014-08-15,Indians,,activated from 15-day DL
2014-08-15,Marlins,,activated from 15-day DL
2014-08-15,Twins,,activated from 15-day DL
2014-08-16,Dodgers,• Juan Uribe (Cespedes),placed on 15-day DL with strained right hamstring
2014-08-16,Reds,• Homer Bailey,placed on 15-day DL with strained flexor tendon in right elbow
2014-08-16,Reds,• Joey Votto,transferred to 60-day DL with strained left quadriceps
2014-08-16,Rockies,• Brett Anderson (Franklin),transferred to 60-day DL with strained lower back (surgery)
2014-08-16,Rockies,• Tommy Kahnle,placed on 15-day DL with right shoulder inflammation
2014-08-16,White Sox,• Moises Sierra,placed on 15-day DL with strained left oblique
2014-08-16,Angels,,activated from 15-day DL
2014-08-16,Rockies,,activated from 60-day DL
2014-08-16,White Sox,,activated from 60-day DL
2014-08-17,Pirates,• Charlie Morton,placed on 15-day DL with right hip inflammation / sports hernia
2014-08-17,Yankees,,activated from 7-day DL
2014-08-18,Padres,,activated from 60-day DL
2014-08-18,Reds,,activated from 15-day DL
2014-08-18,Reds,,activated from 15-day DL
2014-08-19,Astros,• Darin Downs,placed on 15-day DL with strained right oblique muscle
2014-08-19,Cardinals,• Mark Ellis,placed on 15-day DL with strained left oblique
2014-08-19,Indians,• Ryan Raburn,placed on 15-day DL with sore right wrist
2014-08-19,Rockies,• Troy Tulowitzki,transferred to 60-day DL recovering from surgery on left hip
2014-08-19,Astros,,activated from 15-day DL
2014-08-19,Pirates,,activated from 15-day DL
2014-08-20,Rays,• Jerry Sands,transferred to 60-day DL with strained left wrist
2014-08-20,Padres,,activated from restricted list
2014-08-20,Pirates,,activated from 15-day DL
2014-08-20,Rays,,activated from 60-day DL
2014-08-20,Red Sox,,activated from 15-day DL
2014-08-21,Angels,• Garrett Richards,placed on 60-day DL recovering from surgery on left knee to repair torn patellar tendon
2014-08-21,Cubs,• Edwin Jackson,placed on 15-day DL with tightness in / strained right lat
2014-08-21,Red Sox,,activated from 15-day DL
2014-08-22,Giants,• Brandon Belt,transferred to 15-day DL with concussion
2014-08-22,Marlins,• Dan Jennings (Lee),transferred to 15-day DL with concussion
2014-08-22,Athletics,,activated from 15-day DL
2014-08-23,Indians,• Yan Gomes,placed on 7-day DL with concussion
2014-08-23,Nationals,• Nate McLouth,transferred to 60-day DL with surgery on right shoulder to repair labrum
2014-08-23,Mets,,activated from 15-day DL
2014-08-23,Padres,,activated from 15-day DL
2014-08-24,Athletics,• Kyle Blanks,transferred to 60-day DL with strained left calf
2014-08-24,Athletics,• Sean Doolittle,placed on 15-day DL with strained right intercostal muscle
2014-08-24,Red Sox,• Xander Bogaerts,placed on 7-day DL with concussion
2014-08-24,Rockies,• Carlos Gonzalez (Eduardo),transferred to 60-day DL with left knee patella tendinitis
2014-08-24,Rockies,• Michael Cuddyer,placed on 15-day DL with strained left hamstring
2014-08-24,Cubs,,activated from 15-day DL
2014-08-24,Dodgers,,activated from 15-day DL
2014-08-24,Rockies,,activated from 60-day DL
2014-08-25,Athletics,• John Jaso,placed on 7-day DL with concussion
2014-08-25,Rangers,• Shin-Soo Choo,placed on 15-day DL with bone spur in left elbow
2014-08-25,Pirates,,activated from 15-day DL
2014-08-25,White Sox,,activated from 15-day DL
2014-08-26,Cardinals,• Shane Robinson,placed on 15-day DL with surgery on left shoulder
2014-08-26,Marlins,,activated from 15-day DL
2014-08-26,Rays,,activated from 15-day DL
2014-08-27,Cubs,• Justin Ruggiano,placed on 15-day DL with surgery on left ankle
2014-08-27,Cubs,• Ryan Sweeney,placed on 15-day DL with strained left hamstring
2014-08-27,Rockies,• Boone Logan,placed on 15-day DL with left elbow inflammation
2014-08-27,Rockies,• Wilin Rosario,placed on 15-day DL with left wrist inflammation
2014-08-28,Mets,• Vic Black,placed on 15-day DL with herniated disc in neck
2014-08-28,Mets,,activated from 15-day DL
2014-08-28,Royals,• Michael Mariot,placed on 60-day DL with strained right hamstring
2014-08-28,Royals,,activated from 15-day DL
2014-08-29,Mets,• Daniel Murphy,placed on 15-day DL with strained right calf
2014-08-29,Rangers,• Jim Adduci (Charles),placed on 7-day DL with concussion
2014-08-29,Cardinals,,activated from 15-day DL
2014-08-29,Cubs,,activated from 15-day DL
2014-08-29,Indians,,activated from 7-day DL
2014-08-30,Astros,• Josh Zeid,transferred to 60-day DL recovering from surgery on left foot to repair bilateral sesamoiditis
2014-08-30,Rangers,,activated from 60-day DL
2014-08-30,Red Sox,,activated from 7-day DL
2014-08-31,Rangers,• Tanner Scheppers,transferred to 60-day DL with right elbow inflammation
2014-08-31,Angels,,activated from 15-day DL
2014-08-31,Dodgers,,activated from 15-day DL
2014-08-31,Dodgers,,activated from 15-day DL
2014-08-31,White Sox,,activated from 15-day DL
2014-08-31,Blue Jays,,activated from 15-day DL
2014-09-01,Brewers,• Jeff Bianchi,transferred to 60-day DL with strained right elbow
2014-09-01,Giants,• Ehire Adrianza,transferred to 60-day DL with strained right hamstring
2014-09-01,Giants,• Hector Sanchez,transferred to 60-day DL with concussion
2014-09-01,Giants,• Marco Scutaro,transferred to 60-day DL with strained lower back
2014-09-01,Giants,• Matt Cain,transferred to 60-day DL with surgery on right elbow
2014-09-01,Mariners,• Jesus Montero (Alejandro),placed on restricted list (suspended)
2014-09-01,Mariners,• Willie Bloomquist,transferred to 60-day DL with surgery on right knee
2014-09-01,Marlins,• Kevin Gregg,transferred to 60-day DL with surgery on right elbow
2014-09-01,Padres,• Carlos Quentin,transferred to 60-day DL with sore left knee
2014-09-01,Padres,• Yonder Alonso,transferred to 60-day DL with strained right forearm
2014-09-01,Reds,• Homer Bailey,transferred to 60-day DL with strained flexor tendon in right elbow
2014-09-01,Rockies,• Boone Logan,transferred to 60-day DL with left elbow inflammation
2014-09-01,Athletics,,activated from 15-day DL
2014-09-01,Brewers,,activated from 15-day DL
2014-09-01,Brewers,,activated from 15-day DL
2014-09-01,Cardinals,,activated from 15-day DL
2014-09-01,Diamondbacks,,activated from 15-day DL
2014-09-01,Diamondbacks,,activated from 60-day DL
2014-09-01,Dodgers,,activated from 15-day DL
2014-09-01,Indians,,activated from 60-day DL
2014-09-01,Mariners,,activated from 15-day DL
2014-09-01,Marlins,,activated from 60-day DL
2014-09-01,Marlins,,activated from 15-day / 60-day (MLB) DL
2014-09-01,Nationals,,activated from 15-day DL
2014-09-01,Pirates,,activated from 15-day DL
2014-09-01,Rays,,activated from 15-day DL
2014-09-01,Royals,,activated from 15-day DL
2014-09-01,Tigers,• Drew VerHagen,placed on 60-day DL with stress reaction in spine
2014-09-02,Blue Jays,• Brett Lawrie,transferred to 60-day DL with strained left oblique
2014-09-02,Cubs,• Justin Ruggiano,transferred to 60-day DL with surgery on left ankle
2014-09-02,Orioles,• Manny Machado,transferred to 60-day DL with surgery on right knee
2014-09-02,Phillies,• Cliff Lee (Phifer),transferred to 60-day DL with strained left flexor
2014-09-02,Yankees,• Masahiro Tanaka,transferred to 60-day DL with right elbow inflammation
2014-09-02,Astros,,activated from 15-day DL
2014-09-02,Astros,,activated from 15-day DL
2014-09-02,Blue Jays,,activated from 60-day DL
2014-09-02,Blue Jays,,activated from 15-day DL
2014-09-02,Cardinals,,activated from 15-day DL
2014-09-02,Diamondbacks,,activated from 15-day DL
2014-09-02,Diamondbacks,,activated from 15-day DL
2014-09-02,Indians,,activated from 15-day DL
2014-09-02,Padres,• Ryan Jackson (Christopher),placed on 60-day DL with strained right wrist
2014-09-02,Padres,,activated from 60-day DL (CBC SN)
2014-09-02,Padres,,activated from 60-day DL
2014-09-02,Phillies,,activated from 60-day DL
2014-09-02,Rockies,,activated from 15-day DL
2014-09-02,Yankees,• Zachary Heathcott / Slade Heathcott,placed on 60-day DL with surgery on right knee
2014-09-03,Cubs,• Ryan Sweeney,transferred to 60-day DL with strained left hamstring
2014-09-04,Cardinals,• Shane Robinson,transferred to 60-day DL with surgery on left shoulder
2014-09-04,Rangers,• Shin-Soo Choo,transferred to 60-day DL with bone spur in left elbow
2014-09-04,Cardinals,,activated from 60-day DL
2014-09-05,Blue Jays,• Chad Jenkins,placed on 15-day DL with fractured right hand
2014-09-05,Phillies,• Mario Hollands,placed on 60-day DL with strained flexor in left elbow
2014-09-05,Indians,,activated from 15-day DL
2014-09-06,Dodgers,• Josh Beckett,transferred to 60-day DL with left hip impingement
2014-09-07,Rangers,• Yu Darvish,transferred to 60-day DL with right elbow inflammation
2014-09-07,Rockies,,activated from 15-day DL
2014-09-08,Athletics,• John Jaso,placed on 15-day DL with concussion
2014-09-08,Blue Jays,• Melky Cabrera,placed on 15-day DL recovering from surgery on fractured right pinky finger
2014-09-08,Red Sox,• Shane Victorino,transferred to 60-day DL with surgery on lower back
2014-09-08,Mariners,,activated from 15-day DL
2014-09-08,Mets,,activated from 15-day DL
2014-09-08,Rockies,,activated from 15-day DL
2014-09-09,Athletics,,activated from 15-day DL
2014-09-09,Mets,,activated from 15-day DL
2014-09-10,Tigers,,activated from 15-day DL
2014-09-12,Rangers,• Jim Adduci (Charles),transferred to 15-day DL with concussion
2014-09-12,Angels,,activated from 15-day DL
2014-09-12,Athletics,,activated from 15-day DL
2014-09-12,Orioles,• Chris Davis (Lyn),placed on restricted list
2014-09-12,Yankees,,activated from 15-day DL
2014-09-13,Dodgers,,activated from 15-day DL
2014-09-15,Diamondbacks,• Bronson Arroyo,"transferred to 60-day DL recovering from ligament replacement (""Tommy John"") surgery on right elbow"
2014-09-15,Giants,,activated from 15-day DL
2014-09-16,Yankees,• Martin Prado,placed on 60-day DL with appendectomy
2014-09-16,Dodgers,• Stephen Fife,"placed on 60-day DL recovering from ligament replacement (""Tommy John"") surgery on right elbow"
2014-09-16,Pirates,,activated from 15-day DL
2014-09-16,Rangers,,activated from 15-day DL
2014-09-17,Royals,• Christian Colon (Anthony),placed on 15-day DL with fractured right middle finger
2014-09-19,Cubs,,activated from 15-day DL
2014-09-20,Nationals,,activated from 15-day DL
2014-09-21,Yankees,,activated from 60-day DL
2014-09-23,Rangers,,activated from 15-day DL
2014-09-23,Tigers,,activated from 15-day DL
2014-09-24,Pirates,• Charlie Morton,placed on 60-day DL with sports hernia
2014-09-27,Rockies,• Jackson Williams,placed on 60-day DL with surgery on right knee to repair torn meniscus
2014-09-28,Blue Jays,• Chad Jenkins,transferred to 60-day DL with fractured right hand
2014-09-28,Blue Jays,• Melky Cabrera,transferred to 60-day DL recovering from surgery on fractured right pinky finger
2014-09-28,Diamondbacks,,activated from 15-day DL
2014-09-28,Royals,,activated from 15-day DL
2014-09-29,Mariners,,reinstated from restricted list / suspended list (E SN)
2014-09-29,Astros,,activated from 15-day DL
2014-09-29,Athletics,,activated from 15-day DL
2014-09-29,Braves,,activated from 15-day DL
2014-09-29,Indians,,activated from 15-day DL
2014-09-29,Padres,,activated from 15-day DL
2014-10-02,Brewers,,activated from 60-day DL
2014-10-06,Rangers,,activated from 60-day DL
2014-10-06,Rangers,,activated from 60-day DL
2014-10-06,Rangers,,activated from 60-day DL
2014-10-13,Dodgers,,activated from 60-day DL
2014-10-17,Reds,,activated from 60-day DL
2014-10-24,Phillies,,activated from 60-day DL
2014-10-24,Phillies,,activated from 60-day DL
2014-10-25,Pirates,,activated from 60-day DL
2014-10-27,Angels,,activated from 60-day DL
2014-10-28,Nationals,,activated from 60-day DL
2014-10-29,Cubs,,activated from 60-day DL
2014-10-30,Angels,,activated from 60-day DL
2014-10-30,Angels,,activated from 60-day DL
2014-10-30,Astros,,activated from 60-day DL
2014-10-30,Astros,,activated from 60-day DL
2014-10-30,Athletics,,activated from 60-day DL
2014-10-30,Athletics,,activated from 60-day DL
2014-10-30,Athletics,,activated from 60-day DL
2014-10-30,Blue Jays,,activated from 60-day DL
2014-10-30,Braves,,activated from 60-day DL
2014-10-30,Diamondbacks,,activated from 60-day DL
2014-10-30,Diamondbacks,,activated from 60-day DL
2014-10-30,Diamondbacks,,activated from 60-day DL
2014-10-30,Diamondbacks,,activated from 60-day DL
2014-10-30,Dodgers,,activated from 60-day DL
2014-10-30,Dodgers,,activated from 60-day DL
2014-10-30,Dodgers,,activated from 60-day DL
2014-10-30,Mariners,,activated from restricted list
2014-10-30,Mariners,,activated from 60-day DL
2014-10-30,Marlins,,activated from 60-day DL
2014-10-30,Marlins,,activated from 60-day DL
2014-10-30,Marlins,,activated from 60-day DL
2014-10-30,Mets,,activated from 60-day DL
2014-10-30,Mets,,activated from 60-day DL
2014-10-30,Nationals,,activated from 60-day DL
2014-10-30,Orioles,,activated from 60-day DL
2014-10-30,Padres,,activated from 60-day DL
2014-10-30,Reds,,activated from 60-day DL
2014-10-30,Reds,,activated from 60-day DL
2014-10-30,Reds,,activated from 60-day DL
2014-10-30,Royals,,activated from 60-day DL
2014-10-30,Royals,,activated from 60-day DL
2014-10-30,Tigers,,activated from 60-day DL
2014-10-30,Twins,,activated from 60-day DL
2014-10-30,White Sox,,activated from 60-day DL
2014-10-31,Blue Jays,,activated from 60-day DL
2014-10-31,Braves,,activated from 60-day DL
2014-10-31,Braves,,activated from 60-day DL
2014-10-31,Braves,,activated from 60-day DL
2014-10-31,Braves,,activated from 60-day DL
2014-10-31,Cardinals,,activated from 60-day DL
2014-10-31,Cardinals,,activated from 60-day DL
2014-10-31,Nationals,,activated from 60-day DL
2014-10-31,Nationals,,activated from 60-day DL
2014-10-31,Nationals,,activated from 60-day DL
2014-10-31,Red Sox,,activated from 60-day DL
2014-10-31,Tigers,,activated from 60-day DL
2014-10-31,Tigers,,activated from 60-day DL
2014-10-31,Tigers,,activated from 60-day DL
2014-10-31,Tigers,,activated from 60-day DL
2014-10-31,Yankees,,activated from 60-day DL
2014-10-31,Yankees,,activated from 60-day DL
2014-10-31,Yankees,,activated from 60-day DL
2014-10-31,Yankees,,activated from 60-day DL
2014-11-01,Blue Jays,,activated from 60-day DL
2014-11-01,Blue Jays,,activated from 60-day DL
2014-11-01,Blue Jays,,activated from 60-day DL
2014-11-01,Rockies,,activated from 60-day DL
2014-11-02,Astros,,activated from 60-day DL
2014-11-02,Giants,,activated from 60-day DL
2014-11-02,Giants,,activated from 60-day DL
2014-11-02,Giants,,activated from 60-day DL
2014-11-03,Padres,,activated from 60-day DL
2014-11-03,Angels,,activated from 60-day DL
2014-11-03,Angels,,activated from 60-day DL
2014-11-03,Angels,,activated from 60-day DL
2014-11-03,Astros,,activated from 60-day DL
2014-11-03,Brewers,,activated from 60-day DL
2014-11-03,Brewers,,activated from 60-day DL
2014-11-03,Cubs,,activated from 60-day DL
2014-11-03,Cubs,,activated from 60-day DL
2014-11-03,Dodgers,,activated from 60-day DL
2014-11-03,Dodgers,,activated from 60-day DL
2014-11-03,Giants,,activated from 60-day DL
2014-11-03,Orioles,,activated from 60-day DL
2014-11-03,Orioles,,activated from 60-day DL
2014-11-03,Padres,,activated from 60-day DL
2014-11-03,Padres,,activated from 60-day DL
2014-11-03,Padres,,activated from 60-day DL
2014-11-03,Padres,,activated from 60-day DL
2014-11-03,Rangers,,activated from 60-day DL
2014-11-03,Rangers,,activated from 60-day DL
2014-11-03,Rangers,,activated from 60-day DL
2014-11-03,Rangers,,activated from 60-day DL
2014-11-03,Rangers,,activated from 60-day DL
2014-11-03,Rangers,,activated from 60-day DL
2014-11-03,Rangers,,activated from 60-day DL
2014-11-03,Rangers,,activated from 60-day DL
2014-11-03,Rangers,,activated from 60-day DL
2014-11-03,Rays,,activated from 60-day DL
2014-11-03,Rays,,activated from 60-day DL
2014-11-03,Rockies,,activated from 60-day DL
2014-11-03,Rockies,,activated from 60-day DL
2014-11-03,Rockies,,activated from 60-day DL
2014-11-03,Rockies,,activated from 60-day DL
2014-11-03,Rockies,,activated from 60-day DL
2014-11-03,White Sox,,activated from 60-day DL
2014-11-07,Brewers,,activated from restricted list
2015-02-20,Braves,• Shae Simmons,"placed on 60-day DL recovering from ligament replacement (""Tommy John"") surgery on right elbow"
2015-02-21,Dodgers,• Chris Withrow,"placed on 60-day DL recovering from ligament replacement (""Tommy John"") surgery on right elbow"
2015-02-23,Dodgers,• Brandon Beachy,"placed on 60-day DL recovering from ligament replacement (""Tommy John"") surgery on right elbow"
2015-02-24,Rangers,• Jurickson Profar,placed on 60-day DL recovering from surgery on right shoulder
2015-02-26,Athletics,• Taylor Thompson,placed on 60-day DL with strained right shoulder
2015-02-27,Athletics,• A.J. Griffin,"placed on 60-day DL recovering from ligament replacement (""Tommy John"") surgery on right elbow"
2015-03-01,Rockies,• Tyler Chatwood,"placed on 60-day DL recovering from ligament replacement (""Tommy John"") surgery on right elbow"
2015-03-07,Royals,• Kris Medlen,placed on 60-day DL recovering from surgery on right elbow
2015-03-11,Diamondbacks,• Oscar Hernandez (Eduardo),placed on 15-day DL with fractured left wrist
2015-03-11,Rangers,• Martin Perez,placed on 60-day DL recovering from ligament reconstruction surgery on left elbow
2015-03-16,Phillies,• Cliff Lee (Phifer),placed on 60-day DL with left forearm injury
2015-03-26,Padres,• Tim Federowicz,placed on 60-day DL with recovering from surgery on right knee to repair torn meniscus
2015-03-27,Rays,• Alex Colome,placed on 15-day DL with pneumonia
2015-03-27,White Sox,• Nate Jones (Andrew),placed on 60-day DL with recovering from surgery on right elbow
2015-03-27,Mariners,• David Rollins,placed on restricted list
2015-03-30,Cardinals,• Jaime Garcia (Omar),placed on 15-day DL with recovering from surgery on left shoulder
2015-03-30,Red Sox,• Christian Vazquez (Rafael),placed on 60-day DL with sprained right elbow
2015-03-31,Orioles,• David Lough,placed on 15-day DL with strained left hamstring
2015-03-31,Phillies,• Domonic Brown,placed on 15-day DL with left Achilles tendinitis
2015-04-01,Astros,• Brad Peacock,placed on 15-day DL recovering from surgery on right hip
2015-04-01,Astros,• Brett Oberholtzer,placed on 15-day DL with lat injury / blister on left index finger (CBS MLB)
2015-04-01,Astros,• Josh Fields (David),placed on 15-day DL with strained right groin
2015-04-02,Rangers,• Antoan Richardson,placed on 60-day DL recovering from surgery to repair herniated disc in back
2015-04-02,Tigers,• Justin Verlander,placed on 15-day DL with strained right triceps
2015-04-03,Braves,• Melvin Upton Jr. / B.J. Upton,placed on 15-day DL with sesamoiditis in left foot
2015-04-03,Braves,• Mike Minor,placed on 15-day DL with left rotator cuff inflammation
2015-04-03,Cardinals,• Tommy Pham,placed on 15-day DL with strained left quadricep
2015-04-03,Mariners,• Edgar Olmos,placed on 15-day DL with left shoulder impingement
2015-04-03,Marlins,,"""activated"""
2015-04-03,Red Sox,• Joe Kelly (William),placed on 15-day DL with strained right biceps
2015-04-03,Red Sox,• Koji Uehara,placed on 15-day DL with strained left hamstring
2015-04-03,Twins,• Ervin Santana,placed on restricted list
2015-04-04,Angels,• Cory Rasmus,placed on 15-day (CBC MLB SN) / 60-day DL with core muscle surgery
2015-04-04,Angels,• Garrett Richards,placed on 15-day DL recovering from surgery on left knee to repair torn patellar tendon
2015-04-04,Angels,• Josh Hamilton,placed on 15-day DL recovering from surgery on right shoulder
2015-04-04,Angels,• Tyler Skaggs,"placed on 15-day DL recovering from ligament replacement (""Tommy John"") surgery on left elbow"
2015-04-04,Athletics,• Covelli Crisp / Coco Crisp,placed on 15-day DL with surgery on right elbow
2015-04-04,Athletics,• Jarrod Parker (Brent),"placed on 15-day DL recovering from ligament replacement (""Tommy John"") surgery on right elbow"
2015-04-04,Athletics,• Josh Reddick,placed on 15-day DL with strained right oblique muscle
2015-04-04,Athletics,• Nate Freiman,placed on 15-day DL with lumbar strain in back
2015-04-04,Athletics,• Sean Doolittle,placed on 15-day DL with strained / torn left rotator cuff
2015-04-04,Athletics,• Sean Nolin,placed on 15-day DL recovering from bilateral core surgery
2015-04-04,Brewers,• Jim Henderson,placed on 15-day DL with right shoulder inflammation (MLB) / recovering from surgery on right shoulder (CBS)
2015-04-04,Diamondbacks,• Bronson Arroyo,"placed on 60-day DL recovering from ligament replacement (""Tommy John"") surgery on right elbow"
2015-04-04,Diamondbacks,• David Hernandez (Jose),"placed on 15-day DL recovering from ligament replacement (""Tommy John"") surgury on right elbow"
2015-04-04,Diamondbacks,• Matt Stites,placed on 15-day DL with sore right elbow / right elbow inflammation (MLB)
2015-04-04,Diamondbacks,• Oscar Hernandez (Eduardo),placed on 15-day DL with fractured left hand/wrist
2015-04-04,Diamondbacks,• Patrick Corbin,"placed on 15-day DL recovering from ligament replacement (""Tommy John"") surgery on left elbow"
2015-04-04,Giants,• Travis Ishikawa,placed on 15-day DL with strained lower back
2015-04-04,Mariners,• Chris Taylor,placed on 15-day DL with fractured right wrist
2015-04-04,Pirates,• Charlie Morton,placed on 15-day DL with surgery on right hip
2015-04-04,Yankees,• Brendan Ryan,placed on 15-day DL with strained right calf
2015-04-04,Yankees,• Chris Capuano,placed on 15-day DL with strained right quadricep
2015-04-04,Yankees,• Ivan Nova,"placed on 15-day DL recovering from ligament replacement (""Tommy John"") surgery on right elbow"
2015-04-04,Yankees,• Jose Pirela (Manuel),placed on 7-day DL with concussion
2015-04-05,Blue Jays,• Maicer Izturis,placed on 15-day DL with strained right groin
2015-04-05,Blue Jays,• Marcus Stroman,placed on 60-day DL recovering from surgery on left / right knee to repair torn ACL
2015-04-05,Blue Jays,• Michael Saunders,placed on 15-day DL recovering from surgery on left knee to repair torn meniscus
2015-04-05,Braves,• Arodys Vizcaino,placed on restricted list
2015-04-05,Braves,• Dan Winkler / Danny Winkler,"placed on 60-day DL recovering from ligament replacement (""Tommy John"") surgery on elbow"
2015-04-05,Braves,• Joey Terdoslavich,placed on 15-day DL with sprained left wrist
2015-04-05,Braves,• Shae Simmons,placed on 60-day DL
2015-04-05,Cubs,• Chris Denorfia,placed on 15-day DL with strained left hamstring
2015-04-05,Cubs,• Dallas Beeler,placed on 15-day DL with right shoulder inflammation
2015-04-05,Cubs,• Jacob Turner,placed on 15-day DL strained flexor tendon in right elbow / right shoulder inflammation
2015-04-05,Cubs,• Tsuyoshi Wada,placed on 15-day DL with strained left groin
2015-04-05,Dodgers,• Brandon League,placed on 15-day DL with right shoulder impingement
2015-04-05,Dodgers,• Hyun Jin Ryu / Hyun-Jin Ryu,placed on 15-day DL with left shoulder impingement
2015-04-05,Dodgers,• Kenley Jansen,placed on 15-day DL with surgery on left foot
2015-04-05,Giants,• Erik Cordier,placed on 15-day DL with strained right forearm
2015-04-05,Giants,• Hunter Pence,placed on 15-day DL with fractured left forearm
2015-04-05,Indians,• Gavin Floyd,placed on 60-day DL with fractured right elbow (surgery)
2015-04-05,Indians,• Nick Swisher,placed on 15-day DL with surgery on both knees
2015-04-05,Indians,• Zach Walters,placed on 15-day DL with strained right oblique muscle
2015-04-05,Marlins,• Aaron Crow,placed on 15-day DL with sprained right elbow
2015-04-05,Marlins,• Jose Fernandez (D.),"placed on 15-day DL recovering from ligament replacement (""Tommy John"") surgery on right elbow"
2015-04-05,Mets,• Bobby Parnell,"placed on 15-day DL recovering from ligament replacement (""Tommy John"") surgery on right elbow"
2015-04-05,Mets,• Josh Edgin,"placed on 15-day DL with ligament replacement (""Tommy John"") surgery on left elbow"
